JumpID,Jump,Event,AssignOrder,NewOrder
1,4,Obedience,2,2
2,8,Obedience,3,3
3,10,Obedience,4,4
4,12,Obedience,5,5
5,14,Obedience,6,6
6,16,Obedience,7,7
7,18,Obedience,8,8
8,20,Obedience,9,9
9,22,Obedience,10,10
10,24,Obedience,11,11
11,26,Obedience,12,12
12,28,Obedience,13,13
13,30,Obedience,14,14
14,32,Obedience,15,15
15,34,Obedience,16,16
16,36,Obedience,17,17
17,4,Rally,0,3
18,8,Rally,0,13
19,12,Rally,0,11
20,16,Rally,0,16
21,0,Obedience,1,1
