legacy_id,name,sport,class_type,akc_class_code,moveup_target_legacy_id,is_sanctioned,actual_class_name,is_displayed,has_jump,has_multiple_entries,max_total_score,default_dogs_per_hour,has_broad_jump,has_walkthrough
151,Rally Pairs Novice,Rally,Nonregular,111,2,true,Rally Pairs Novice,true,false,true,200,12,false,true
152,Rally Pairs Advanced,Rally,Nonregular,112,2,true,Rally Pairs Advanced,true,false,true,200,12,false,true
153,Rally Pairs Excellent,Rally,Nonregular,113,2,true,Rally Pairs Excellent,true,false,true,200,12,false,true
154,Rally T Challenge,Rally,Nonregular,114,2,true,Rally T Challenge,true,false,false,200,15,false,true
155,Rally T Challenge Team,Rally,Nonregular,115,2,true,Rally T Challenge Team,true,false,true,800,4,false,true
156,Rally Team Novice,Rally,Nonregular,116,2,true,Rally Team Novice,true,false,true,400,4,false,true
157,Rally Team Advanced,Rally,Nonregular,117,2,true,Rally Team Advanced,true,false,true,400,4,false,true
158,Rally Team Excellent,Rally,Nonregular,118,2,true,Rally Team Excellent,true,false,true,400,4,false,true
159,Rally Plus,Rally,Nonregular,119,2,true,Rally Plus,true,false,false,200,12,false,true
160,Rally Intro,Rally,Nonregular,120,2,false,Rally Intro,true,false,false,100,20,false,true
